Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Omar Narvaez,40,32,126,108,19,13,4,0,2,0,0,16,2,0,0,47,0.373015873,,,
Daniel Murphy,40,31,132,123,29,23,3,0,3,0,0,7,0,0,1,49,0.371212121,,,
Joey Bart,33,28,111,103,24,17,5,2,0,0,0,3,5,0,0,41,0.369369369,,,
Ehire Adrianza,44,24,101,89,17,10,7,0,0,1,0,11,1,0,0,37,0.366336634,,,
Nico Hoerner,48,33,126,108,24,20,4,0,0,3,2,12,3,0,2,46,0.365079365,,,
Ender Inciarte,46,30,131,116,22,18,2,1,1,4,1,12,0,1,2,47,0.358778626,,,
Brock Holt,36,27,106,95,20,14,6,0,0,1,0,9,1,0,1,38,0.358490566,,,
Luis Urias,41,31,120,109,26,21,4,1,0,2,2,10,1,0,0,43,0.358333333,,,
Carter Kieboom,33,31,122,99,20,19,1,0,0,0,1,17,5,0,1,43,0.352459016,,,
Eric Sogard,43,29,128,115,24,18,5,0,1,0,0,11,1,0,1,45,0.3515625,,,
Nomar Mazara,42,38,149,136,31,24,6,0,1,0,1,10,3,0,0,52,0.348993289,,,
Austin Romine,37,37,135,130,31,24,5,0,2,0,0,4,0,0,1,47,0.348148148,,,
Scott Kingery,36,34,124,113,18,10,5,0,3,0,0,9,1,1,0,43,0.346774194,,,
Isaac Paredes,34,30,108,100,22,17,4,0,1,0,0,8,0,0,0,37,0.342592593,,,
Luis Rengifo,33,26,106,90,14,12,1,0,1,3,1,14,0,2,0,36,0.339622642,,,
Kevin Newman,44,41,172,156,35,29,5,0,1,0,1,12,1,1,2,58,0.337209302,,,
Tony Wolters,42,35,109,100,23,19,4,0,0,0,0,6,1,2,0,36,0.330275229,,,
Nicky Lopez,56,51,192,169,34,25,8,0,1,0,5,18,2,3,0,63,0.328125,,,
Cole Tucker,37,28,116,109,24,20,3,0,1,1,0,5,0,1,1,38,0.327586207,,,
Willie Calhoun,29,25,108,100,19,15,2,1,1,0,0,5,1,0,2,34,0.314814815,,,
Roberto Perez,32,30,110,97,16,13,2,0,1,0,0,11,2,0,0,34,0.309090909,,,
Jo Adell,38,33,132,124,20,13,4,0,3,0,1,7,1,0,0,40,0.303030303,,,
